100,49,29,29,30,30,26,26,24,26,26,26,24,25,42,26,25,26,26,25,27,
200,58,56,59,57,63,60,64,60,62,72,64,61,58,59,61,58,62,61,60,64,
300,107,97,95,93,100,96,99,99,113,96,96,97,94,92,104,98,94,95,99,91,
400,182,154,184,137,114,133,136,130,141,183,126,168,166,147,133,205,168,141,132,196,
500,269,183,163,169,179,216,162,166,163,165,252,252,277,265,178,162,172,189,226,305,
600,321,279,235,185,194,205,206,204,205,241,192,442,322,235,200,363,196,341,202,206,
700,375,518,376,403,286,374,385,393,394,403,413,260,234,237,247,236,261,260,241,233,
800,485,282,929,487,412,274,476,272,263,280,278,277,269,269,315,280,270,278,275,279,
900,322,318,309,331,316,330,342,327,311,331,586,593,593,564,523,544,323,298,295,308,
1000,348,370,386,343,335,327,397,337,348,584,335,329,516,572,376,328,346,396,340,350,
